states,positives
Alabama,1.3292269230769231
Alaska,0.0
Arizona,0.9885004950495048
Arkansas,0.6192382716049383
California,0.6318660287081341
Colorado,0.3126302884615384
Connecticut,0.46470497237569036
Delaware,0.6851275862068966
District of Columbia,0.21488333333333332
Florida,0.7979253588516745
Georgia,0.9860391304347823
Hawaii,0.0
Idaho,0.9386463768115944
Illinois,0.5639674641148323
Indiana,0.45259516908212577
Iowa,1.0240755555555556
Kansas,0.6922468208092484
Kentucky,0.34740742574257427
Louisiana,1.5672210227272727
Maine,0.10640277777777778
Maryland,0.5074050251256281
Massachusetts,0.3883490384615384
Michigan,0.3367244019138756
Minnesota,0.4324323671497584
Mississippi,1.4800207142857142
Missouri,0.5597357487922704
Montana,0.2378456790123457
Nebraska,0.651667375886525
Nevada,0.8561742647058823
New Hampshire,0.29757272727272727
New Jersey,0.5660815533980581
New Mexico,0.39645652173913043
New York,0.45956315789473695
North Carolina,0.4316947368421056
North Dakota,0.4891838709677419
Ohio,0.33154354066985664
Oklahoma,0.5646893401015227
Oregon,0.17995515463917525
Pennsylvania,0.2959693779904306
Rhode Island,0.6191704545454546
South Carolina,0.8349635416666668
South Dakota,0.604588888888889
Tennessee,0.6733786407766992
Texas,0.9644755980861247
Utah,0.5733566502463052
Vermont,0.28318750000000004
Virginia,0.38667607655502395
Washington,0.30091394230769236
West Virginia,0.23199328358208954
Wisconsin,0.3885927884615385
Wyoming,0.1876625
